Frequency (GHz),1,2,3,4
1.60,10.764000,13.935675,16.863298,1004508060718.363892
1.70,11.075109,14.464984,17.557822,20.464792
1.80,11.437923,14.974825,18.329896,21.425844
1.90,11.806302,15.514285,19.018476,22.374388
2.10,12.445437,16.797730,1038412724882.100098,24.454261
2.20,12.829447,17.449189,21.715858,25.544500
2.30,432547623149.585205,17.983689,22.658224,26.818765
2.40,13.727207,18.913427,23.791737,28.102516
2.50,14.218068,19.798036,24.985811,29.579674
2.60,14.719830,904940477903.701416,26.249849,31.201123
2.70,15.281046,21.646203,27.565925,32.858371
2.90,16.567674,23.758873,30.718827,36.823473
3.00,17.279966,24.991033,32.437212,1857384350411.909180
3.10,18.157461,26.342398,34.438169,41.273432
3.20,598272694721.508789,28.006647,36.384639,43.570651
